# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	bottomWall	4.762330e-01	4.762330e-01	4.762330e-01
0.02          	bottomWall	4.059772e-01	4.059772e-01	4.059772e-01
0.03          	bottomWall	5.514894e-01	5.514894e-01	5.514894e-01
0.04          	bottomWall	5.865702e-01	5.865702e-01	5.865702e-01
0.05          	bottomWall	6.028497e-01	6.028497e-01	6.028497e-01
0.06          	bottomWall	6.112595e-01	6.112595e-01	6.112595e-01
0.07          	bottomWall	6.153641e-01	6.153641e-01	6.153641e-01
0.08          	bottomWall	6.167915e-01	6.167915e-01	6.167915e-01
0.09          	bottomWall	6.164787e-01	6.164787e-01	6.164787e-01
0.1           	bottomWall	6.150277e-01	6.150277e-01	6.150277e-01
0.11          	bottomWall	6.128372e-01	6.128372e-01	6.128372e-01
0.12          	bottomWall	6.101723e-01	6.101723e-01	6.101723e-01
0.13          	bottomWall	6.072084e-01	6.072084e-01	6.072084e-01
0.14          	bottomWall	6.040612e-01	6.040612e-01	6.040612e-01
0.15          	bottomWall	6.008070e-01	6.008070e-01	6.008070e-01
0.16          	bottomWall	5.974957e-01	5.974957e-01	5.974957e-01
0.17          	bottomWall	5.941595e-01	5.941595e-01	5.941595e-01
0.18          	bottomWall	5.908185e-01	5.908185e-01	5.908185e-01
0.19          	bottomWall	5.874853e-01	5.874853e-01	5.874853e-01
0.2           	bottomWall	5.841668e-01	5.841668e-01	5.841668e-01
0.21          	bottomWall	5.808662e-01	5.808662e-01	5.808662e-01
0.22          	bottomWall	5.775845e-01	5.775845e-01	5.775845e-01
0.23          	bottomWall	5.743209e-01	5.743209e-01	5.743209e-01
0.24          	bottomWall	5.710736e-01	5.710736e-01	5.710736e-01
0.25          	bottomWall	5.678401e-01	5.678401e-01	5.678401e-01
0.26          	bottomWall	5.646176e-01	5.646176e-01	5.646176e-01
0.27          	bottomWall	5.614029e-01	5.614029e-01	5.614029e-01
0.28          	bottomWall	5.581929e-01	5.581929e-01	5.581929e-01
