0 	0 	0 	0 	-0.0120725 	7.76215e-13 	-4.30621e-26
2.08333e-06 	0.0213939 	-1.1689e-12 	-2.95462e-32 	-0.00603625 	3.88108e-13 	-2.15311e-26
4.16667e-06 	0.0427877 	-2.30212e-12 	-1.23058e-31 	0 	0 	0
6.25e-06 	0.0596239 	-4.21938e-12 	-2.25518e-33 	0 	0 	0
8.33333e-06 	0.07646 	-5.94013e-12 	-9.24806e-32 	0 	0 	0
1.04167e-05 	0.0907302 	-8.17653e-12 	4.64285e-32 	0 	0 	0
1.25e-05 	0.105 	-9.79885e-12 	-8.51831e-32 	0 	0 	0
1.45833e-05 	0.117556 	-1.23685e-11 	-5.61914e-32 	0 	0 	0
1.66667e-05 	0.130111 	-1.358e-11 	-8.51751e-32 	0 	0 	0
1.875e-05 	0.141407 	-1.65213e-11 	-2.66959e-32 	0 	0 	0
2.08333e-05 	0.152703 	-1.70407e-11 	2.87501e-36 	0 	0 	0
2.29167e-05 	0.163021 	-2.04405e-11 	1.72951e-32 	0 	0 	0
2.5e-05 	0.173337 	-2.00371e-11 	-9.25925e-31 	0 	0 	0
2.70833e-05 	0.182862 	-2.40207e-11 	-2.00246e-31 	0 	0 	0
2.91667e-05 	0.192386 	-2.25083e-11 	-9.25921e-31 	0 	0 	0
3.125e-05 	0.20125 	-2.72118e-11 	-3.29337e-32 	0 	0 	0
3.33333e-05 	0.210114 	-2.44209e-11 	1.19576e-30 	0 	0 	0
3.54167e-05 	0.218417 	-2.99816e-11 	3.07588e-31 	0 	0 	0
3.75e-05 	0.226721 	-2.57623e-11 	8.36674e-31 	0 	0 	0
3.95833e-05 	0.234538 	-3.23086e-11 	-1.44902e-33 	0 	0 	0
4.16667e-05 	0.242356 	-2.65204e-11 	-1.05106e-30 	0 	0 	0
4.375e-05 	0.249748 	-3.42043e-11 	-3.83008e-31 	0 	0 	0
4.58333e-05 	0.25714 	-2.67305e-11 	-7.3569e-31 	0 	0 	0
4.79167e-05 	0.265176 	-3.57336e-11 	-3.10684e-31 	0 	0 	0
5e-05 	0.269126 	-2.6847e-11 	1.5187e-31 	0 	0 	0
5.33283e-05 	0.282875 	-3.68812e-11 	-2.91094e-32 	0 	0 	0
5.66566e-05 	0.291894 	-2.47452e-11 	3.6026e-31 	0 	0 	0
6.01968e-05 	0.302926 	-3.73121e-11 	2.77675e-31 	0 	0 	0
6.37369e-05 	0.312676 	-2.14897e-11 	3.58069e-31 	0 	0 	0
6.75024e-05 	0.323587 	-3.65883e-11 	1.36809e-31 	0 	0 	0
7.12679e-05 	0.33323 	-1.64308e-11 	-1.08254e-32 	0 	0 	0
7.52731e-05 	0.344034 	-3.44917e-11 	-2.95793e-31 	0 	0 	0
7.92783e-05 	0.353582 	-9.44314e-12 	-7.99435e-31 	0 	0 	0
8.35384e-05 	0.364291 	-3.08607e-11 	-3.11745e-31 	0 	0 	0
8.77986e-05 	0.373756 	-2.92057e-13 	-6.78399e-31 	0 	0 	0
9.23299e-05 	0.384379 	-2.55031e-11 	6.04159e-32 	0 	0 	0
9.68612e-05 	0.393769 	1.11888e-11 	7.05168e-31 	0 	0 	0
0.000101681 	0.404315 	-1.8257e-11 	4.99783e-31 	0 	0 	0
0.000106501 	0.413636 	2.51594e-11 	1.82004e-30 	0 	0 	0
0.000111627 	0.424111 	-8.99928e-12 	5.36328e-31 	0 	0 	0
0.000116754 	0.433369 	4.17516e-11 	8.58294e-31 	0 	0 	0
0.000122207 	0.443778 	2.40174e-12 	1.16753e-31 	0 	0 	0
0.000127659 	0.452978 	6.10674e-11 	-4.48632e-31 	0 	0 	0
0.000133459 	0.463325 	1.61019e-11 	-6.8825e-32 	0 	0 	0
0.000139259 	0.47247 	8.31581e-11 	3.22754e-31 	0 	0 	0
0.000145428 	0.482759 	3.21763e-11 	-8.24912e-32 	0 	0 	0
0.000151598 	0.491853 	1.08009e-10 	-1.06989e-31 	0 	0 	0
0.000158159 	0.502088 	5.06356e-11 	-2.10499e-31 	0 	0 	0
0.000164721 	0.511133 	1.35509e-10 	-9.05192e-31 	0 	0 	0
0.000171701 	0.521315 	7.14494e-11 	-1.32133e-31 	0 	0 	0
0.00017868 	0.530313 	1.65453e-10 	-1.881e-31 	0 	0 	0
0.000186104 	0.540445 	9.45192e-11 	4.27999e-32 	0 	0 	0
0.000193528 	0.549399 	1.97534e-10 	1.63583e-31 	0 	0 	0
0.000201424 	0.559483 	1.19671e-10 	5.37427e-32 	0 	0 	0
0.00020932 	0.568395 	2.31306e-10 	1.40063e-31 	0 	0 	0
0.000217719 	0.578432 	1.46633e-10 	-5.78384e-32 	0 	0 	0
0.000226118 	0.587303 	2.66189e-10 	-5.64531e-31 	0 	0 	0
0.000235052 	0.597295 	1.75034e-10 	-2.38436e-32 	0 	0 	0
0.000243985 	0.606127 	3.01507e-10 	-3.23084e-31 	0 	0 	0
0.000253488 	0.616076 	2.04402e-10 	8.53924e-32 	0 	0 	0
0.00026299 	0.624869 	3.36451e-10 	3.54421e-31 	0 	0 	0
0.000273097 	0.634777 	2.34156e-10 	-2.16078e-32 	0 	0 	0
0.000283204 	0.643534 	3.70102e-10 	1.5105e-31 	0 	0 	0
0.000293954 	0.653401 	2.63612e-10 	-3.1421e-32 	0 	0 	0
0.000304705 	0.662122 	4.01568e-10 	-1.23725e-31 	0 	0 	0
0.000316139 	0.67195 	2.92026e-10 	5.7582e-32 	0 	0 	0
0.000327574 	0.680637 	4.29976e-10 	-8.01705e-32 	0 	0 	0
