# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	bottomWall	2.710555e-01	2.710555e-01	2.710555e-01
0.02          	bottomWall	2.279765e-01	2.279765e-01	2.279765e-01
0.03          	bottomWall	2.475458e-01	2.475458e-01	2.475458e-01
0.04          	bottomWall	2.537327e-01	2.537327e-01	2.537327e-01
0.05          	bottomWall	2.551715e-01	2.551715e-01	2.551715e-01
0.06          	bottomWall	2.553499e-01	2.553499e-01	2.553499e-01
0.07          	bottomWall	2.548372e-01	2.548372e-01	2.548372e-01
0.08          	bottomWall	2.539131e-01	2.539131e-01	2.539131e-01
0.09          	bottomWall	2.527367e-01	2.527367e-01	2.527367e-01
0.1           	bottomWall	2.514043e-01	2.514043e-01	2.514043e-01
0.11          	bottomWall	2.499766e-01	2.499766e-01	2.499766e-01
0.12          	bottomWall	2.484923e-01	2.484923e-01	2.484923e-01
0.13          	bottomWall	2.469764e-01	2.469764e-01	2.469764e-01
0.14          	bottomWall	2.454453e-01	2.454453e-01	2.454453e-01
0.15          	bottomWall	2.439092e-01	2.439092e-01	2.439092e-01
0.16          	bottomWall	2.423748e-01	2.423748e-01	2.423748e-01
0.17          	bottomWall	2.408458e-01	2.408458e-01	2.408458e-01
0.18          	bottomWall	2.393245e-01	2.393245e-01	2.393245e-01
0.19          	bottomWall	2.378119e-01	2.378119e-01	2.378119e-01
0.2           	bottomWall	2.363079e-01	2.363079e-01	2.363079e-01
0.21          	bottomWall	2.348123e-01	2.348123e-01	2.348123e-01
0.22          	bottomWall	2.333242e-01	2.333242e-01	2.333242e-01
0.23          	bottomWall	2.318427e-01	2.318427e-01	2.318427e-01
0.24          	bottomWall	2.303667e-01	2.303667e-01	2.303667e-01
0.25          	bottomWall	2.288949e-01	2.288949e-01	2.288949e-01
0.26          	bottomWall	2.274262e-01	2.274262e-01	2.274262e-01
0.27          	bottomWall	2.259593e-01	2.259593e-01	2.259593e-01
0.28          	bottomWall	2.244930e-01	2.244930e-01	2.244930e-01
0.29          	bottomWall	2.230261e-01	2.230261e-01	2.230261e-01
0.3           	bottomWall	2.215576e-01	2.215576e-01	2.215576e-01
0.31          	bottomWall	2.200864e-01	2.200864e-01	2.200864e-01
0.32          	bottomWall	2.186114e-01	2.186114e-01	2.186114e-01
0.33          	bottomWall	2.171316e-01	2.171316e-01	2.171316e-01
0.34          	bottomWall	2.156462e-01	2.156462e-01	2.156462e-01
0.35          	bottomWall	2.141543e-01	2.141543e-01	2.141543e-01
0.36          	bottomWall	2.126549e-01	2.126549e-01	2.126549e-01
0.37          	bottomWall	2.111474e-01	2.111474e-01	2.111474e-01
0.38          	bottomWall	2.096311e-01	2.096311e-01	2.096311e-01
0.39          	bottomWall	2.081051e-01	2.081051e-01	2.081051e-01
0.4           	bottomWall	2.065688e-01	2.065688e-01	2.065688e-01
0.41          	bottomWall	2.050216e-01	2.050216e-01	2.050216e-01
0.42          	bottomWall	2.034629e-01	2.034629e-01	2.034629e-01
0.43          	bottomWall	2.018921e-01	2.018921e-01	2.018921e-01
0.44          	bottomWall	2.003086e-01	2.003086e-01	2.003086e-01
0.45          	bottomWall	1.987120e-01	1.987120e-01	1.987120e-01
0.46          	bottomWall	1.971017e-01	1.971017e-01	1.971017e-01
0.47          	bottomWall	1.954772e-01	1.954772e-01	1.954772e-01
0.48          	bottomWall	1.938381e-01	1.938381e-01	1.938381e-01
0.49          	bottomWall	1.921839e-01	1.921839e-01	1.921839e-01
0.5           	bottomWall	1.905142e-01	1.905142e-01	1.905142e-01
0.51          	bottomWall	1.888285e-01	1.888285e-01	1.888285e-01
0.52          	bottomWall	1.871264e-01	1.871264e-01	1.871264e-01
0.53          	bottomWall	1.854076e-01	1.854076e-01	1.854076e-01
0.54          	bottomWall	1.836715e-01	1.836715e-01	1.836715e-01
0.55          	bottomWall	1.819178e-01	1.819178e-01	1.819178e-01
0.56          	bottomWall	1.801461e-01	1.801461e-01	1.801461e-01
0.57          	bottomWall	1.783560e-01	1.783560e-01	1.783560e-01
0.58          	bottomWall	1.765470e-01	1.765470e-01	1.765470e-01
0.59          	bottomWall	1.747188e-01	1.747188e-01	1.747188e-01
0.6           	bottomWall	1.728710e-01	1.728710e-01	1.728710e-01
0.61          	bottomWall	1.710031e-01	1.710031e-01	1.710031e-01
0.62          	bottomWall	1.691146e-01	1.691146e-01	1.691146e-01
0.63          	bottomWall	1.672053e-01	1.672053e-01	1.672053e-01
0.64          	bottomWall	1.652745e-01	1.652745e-01	1.652745e-01
0.65          	bottomWall	1.633218e-01	1.633218e-01	1.633218e-01
0.66          	bottomWall	1.613467e-01	1.613467e-01	1.613467e-01
0.67          	bottomWall	1.593487e-01	1.593487e-01	1.593487e-01
0.68          	bottomWall	1.573272e-01	1.573272e-01	1.573272e-01
0.69          	bottomWall	1.552817e-01	1.552817e-01	1.552817e-01
0.7           	bottomWall	1.532115e-01	1.532115e-01	1.532115e-01
0.71          	bottomWall	1.511160e-01	1.511160e-01	1.511160e-01
0.72          	bottomWall	1.489945e-01	1.489945e-01	1.489945e-01
0.73          	bottomWall	1.468462e-01	1.468462e-01	1.468462e-01
0.74          	bottomWall	1.446704e-01	1.446704e-01	1.446704e-01
0.75          	bottomWall	1.424662e-01	1.424662e-01	1.424662e-01
0.76          	bottomWall	1.402326e-01	1.402326e-01	1.402326e-01
0.77          	bottomWall	1.379686e-01	1.379686e-01	1.379686e-01
0.78          	bottomWall	1.356732e-01	1.356732e-01	1.356732e-01
0.79          	bottomWall	1.333451e-01	1.333451e-01	1.333451e-01
0.8           	bottomWall	1.309830e-01	1.309830e-01	1.309830e-01
0.81          	bottomWall	1.285856e-01	1.285856e-01	1.285856e-01
0.82          	bottomWall	1.261511e-01	1.261511e-01	1.261511e-01
0.83          	bottomWall	1.236779e-01	1.236779e-01	1.236779e-01
0.84          	bottomWall	1.211640e-01	1.211640e-01	1.211640e-01
0.85          	bottomWall	1.186072e-01	1.186072e-01	1.186072e-01
0.86          	bottomWall	1.160052e-01	1.160052e-01	1.160052e-01
0.87          	bottomWall	1.133553e-01	1.133553e-01	1.133553e-01
0.88          	bottomWall	1.106543e-01	1.106543e-01	1.106543e-01
0.89          	bottomWall	1.078988e-01	1.078988e-01	1.078988e-01
0.9           	bottomWall	1.050850e-01	1.050850e-01	1.050850e-01
0.91          	bottomWall	1.022082e-01	1.022082e-01	1.022082e-01
0.92          	bottomWall	9.926343e-02	9.926343e-02	9.926343e-02
0.93          	bottomWall	9.624458e-02	9.624458e-02	9.624458e-02
0.94          	bottomWall	9.314470e-02	9.314470e-02	9.314470e-02
0.95          	bottomWall	8.995554e-02	8.995554e-02	8.995554e-02
0.96          	bottomWall	8.666730e-02	8.666730e-02	8.666730e-02
0.97          	bottomWall	8.326822e-02	8.326822e-02	8.326822e-02
0.98          	bottomWall	7.974393e-02	7.974393e-02	7.974393e-02
0.99          	bottomWall	7.607673e-02	7.607673e-02	7.607673e-02
1             	bottomWall	7.224430e-02	7.224430e-02	7.224430e-02
1.01          	bottomWall	6.821799e-02	6.821799e-02	6.821799e-02
1.02          	bottomWall	6.395999e-02	6.395999e-02	6.395999e-02
1.03          	bottomWall	5.941877e-02	5.941877e-02	5.941877e-02
1.04          	bottomWall	5.452110e-02	5.452110e-02	5.452110e-02
1.05          	bottomWall	4.915688e-02	4.915688e-02	4.915688e-02
1.06          	bottomWall	4.314676e-02	4.314676e-02	4.314676e-02
1.07          	bottomWall	3.616087e-02	3.616087e-02	3.616087e-02
1.08          	bottomWall	2.744679e-02	2.744679e-02	2.744679e-02
1.09          	bottomWall	1.404726e-02	1.404726e-02	1.404726e-02
1.1           	bottomWall	1.903930e-02	1.903930e-02	1.903930e-02
1.11          	bottomWall	3.071185e-02	3.071185e-02	3.071185e-02
1.12          	bottomWall	3.878084e-02	3.878084e-02	3.878084e-02
1.13          	bottomWall	4.523489e-02	4.523489e-02	4.523489e-02
1.14          	bottomWall	5.072246e-02	5.072246e-02	5.072246e-02
1.15          	bottomWall	5.555052e-02	5.555052e-02	5.555052e-02
1.16          	bottomWall	5.989194e-02	5.989194e-02	5.989194e-02
1.17          	bottomWall	6.385535e-02	6.385535e-02	6.385535e-02
1.18          	bottomWall	6.751435e-02	6.751435e-02	6.751435e-02
1.19          	bottomWall	7.092165e-02	7.092165e-02	7.092165e-02
1.2           	bottomWall	7.411657e-02	7.411657e-02	7.411657e-02
1.21          	bottomWall	7.712947e-02	7.712947e-02	7.712947e-02
1.22          	bottomWall	7.998447e-02	7.998447e-02	7.998447e-02
1.23          	bottomWall	8.270112e-02	8.270112e-02	8.270112e-02
1.24          	bottomWall	8.529562e-02	8.529562e-02	8.529562e-02
1.25          	bottomWall	8.778161e-02	8.778161e-02	8.778161e-02
1.26          	bottomWall	9.017073e-02	9.017073e-02	9.017073e-02
1.27          	bottomWall	9.247306e-02	9.247306e-02	9.247306e-02
1.28          	bottomWall	9.469740e-02	9.469740e-02	9.469740e-02
1.29          	bottomWall	9.685154e-02	9.685154e-02	9.685154e-02
1.3           	bottomWall	9.894241e-02	9.894241e-02	9.894241e-02
1.31          	bottomWall	1.009762e-01	1.009762e-01	1.009762e-01
1.32          	bottomWall	1.029586e-01	1.029586e-01	1.029586e-01
1.33          	bottomWall	1.048945e-01	1.048945e-01	1.048945e-01
1.34          	bottomWall	1.067887e-01	1.067887e-01	1.067887e-01
1.35          	bottomWall	1.086454e-01	1.086454e-01	1.086454e-01
1.36          	bottomWall	1.104684e-01	1.104684e-01	1.104684e-01
1.37          	bottomWall	1.122612e-01	1.122612e-01	1.122612e-01
1.38          	bottomWall	1.140271e-01	1.140271e-01	1.140271e-01
1.39          	bottomWall	1.157689e-01	1.157689e-01	1.157689e-01
1.4           	bottomWall	1.174895e-01	1.174895e-01	1.174895e-01
1.41          	bottomWall	1.191912e-01	1.191912e-01	1.191912e-01
1.42          	bottomWall	1.208764e-01	1.208764e-01	1.208764e-01
1.43          	bottomWall	1.225469e-01	1.225469e-01	1.225469e-01
1.44          	bottomWall	1.242047e-01	1.242047e-01	1.242047e-01
1.45          	bottomWall	1.258513e-01	1.258513e-01	1.258513e-01
1.46          	bottomWall	1.274883e-01	1.274883e-01	1.274883e-01
1.47          	bottomWall	1.291170e-01	1.291170e-01	1.291170e-01
1.48          	bottomWall	1.307385e-01	1.307385e-01	1.307385e-01
1.49          	bottomWall	1.323538e-01	1.323538e-01	1.323538e-01
1.5           	bottomWall	1.339638e-01	1.339638e-01	1.339638e-01
1.51          	bottomWall	1.355694e-01	1.355694e-01	1.355694e-01
1.52          	bottomWall	1.371711e-01	1.371711e-01	1.371711e-01
1.53          	bottomWall	1.387695e-01	1.387695e-01	1.387695e-01
1.54          	bottomWall	1.403651e-01	1.403651e-01	1.403651e-01
1.55          	bottomWall	1.419583e-01	1.419583e-01	1.419583e-01
1.56          	bottomWall	1.435494e-01	1.435494e-01	1.435494e-01
1.57          	bottomWall	1.451385e-01	1.451385e-01	1.451385e-01
1.58          	bottomWall	1.467259e-01	1.467259e-01	1.467259e-01
