# y+ ()       
# Time        	patch         	min           	max           	average       
0.01          	bottomWall	3.185261e-01	3.185261e-01	3.185261e-01
0.02          	bottomWall	2.673902e-01	2.673902e-01	2.673902e-01
0.03          	bottomWall	3.076044e-01	3.076044e-01	3.076044e-01
0.04          	bottomWall	3.188897e-01	3.188897e-01	3.188897e-01
0.05          	bottomWall	3.236958e-01	3.236958e-01	3.236958e-01
0.06          	bottomWall	3.259351e-01	3.259351e-01	3.259351e-01
0.07          	bottomWall	3.267258e-01	3.267258e-01	3.267258e-01
0.08          	bottomWall	3.266171e-01	3.266171e-01	3.266171e-01
0.09          	bottomWall	3.259220e-01	3.259220e-01	3.259220e-01
0.1           	bottomWall	3.248348e-01	3.248348e-01	3.248348e-01
0.11          	bottomWall	3.234819e-01	3.234819e-01	3.234819e-01
0.12          	bottomWall	3.219482e-01	3.219482e-01	3.219482e-01
0.13          	bottomWall	3.202915e-01	3.202915e-01	3.202915e-01
0.14          	bottomWall	3.185518e-01	3.185518e-01	3.185518e-01
0.15          	bottomWall	3.167566e-01	3.167566e-01	3.167566e-01
0.16          	bottomWall	3.149254e-01	3.149254e-01	3.149254e-01
0.17          	bottomWall	3.130714e-01	3.130714e-01	3.130714e-01
0.18          	bottomWall	3.112038e-01	3.112038e-01	3.112038e-01
0.19          	bottomWall	3.093286e-01	3.093286e-01	3.093286e-01
0.2           	bottomWall	3.074499e-01	3.074499e-01	3.074499e-01
0.21          	bottomWall	3.055702e-01	3.055702e-01	3.055702e-01
0.22          	bottomWall	3.036908e-01	3.036908e-01	3.036908e-01
0.23          	bottomWall	3.018125e-01	3.018125e-01	3.018125e-01
0.24          	bottomWall	2.999352e-01	2.999352e-01	2.999352e-01
0.25          	bottomWall	2.980585e-01	2.980585e-01	2.980585e-01
0.26          	bottomWall	2.961820e-01	2.961820e-01	2.961820e-01
0.27          	bottomWall	2.943048e-01	2.943048e-01	2.943048e-01
0.28          	bottomWall	2.924259e-01	2.924259e-01	2.924259e-01
0.29          	bottomWall	2.905444e-01	2.905444e-01	2.905444e-01
0.3           	bottomWall	2.886593e-01	2.886593e-01	2.886593e-01
0.31          	bottomWall	2.867695e-01	2.867695e-01	2.867695e-01
0.32          	bottomWall	2.848740e-01	2.848740e-01	2.848740e-01
0.33          	bottomWall	2.829718e-01	2.829718e-01	2.829718e-01
0.34          	bottomWall	2.810617e-01	2.810617e-01	2.810617e-01
0.35          	bottomWall	2.791430e-01	2.791430e-01	2.791430e-01
0.36          	bottomWall	2.772146e-01	2.772146e-01	2.772146e-01
0.37          	bottomWall	2.752756e-01	2.752756e-01	2.752756e-01
0.38          	bottomWall	2.733252e-01	2.733252e-01	2.733252e-01
0.39          	bottomWall	2.713625e-01	2.713625e-01	2.713625e-01
0.4           	bottomWall	2.693868e-01	2.693868e-01	2.693868e-01
0.41          	bottomWall	2.673971e-01	2.673971e-01	2.673971e-01
0.42          	bottomWall	2.653929e-01	2.653929e-01	2.653929e-01
0.43          	bottomWall	2.633734e-01	2.633734e-01	2.633734e-01
0.44          	bottomWall	2.613379e-01	2.613379e-01	2.613379e-01
0.45          	bottomWall	2.592858e-01	2.592858e-01	2.592858e-01
